Day	Time	Location	SCA Name 	Title of Class 	Description
18-Aug	11:00 AM	Dance Tent	Salatatoris Dance Guild	Intermediate English Country Dancing	"The dances taught are up to the participants. Possibilities include, but are in no way limited to, Hyde Park, If All the World Were Paper, Whirlygig, Parsons Farewell, Bonny Bonny Broom, and Fine Companion."
18-Aug	1:00 PM	Dance Tent	Philip White	Reconstruction Practicum: 16th Century French (Arbeau)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
18-Aug	2:00 PM	Dance Tent	Alina of Foxwood	Diamond Duo -- Bizzaria d'Amore and il Villanicco	"Engage your fellow dancers in sparkling wit, whimsical flirtation and, perhaps, sharp duels in this pair of 16th Centure Italian dances for 2 couples danced in a diamond formation. "
18-Aug	3:00 PM	Dance Tent	Katherine Mercer	Intro to 16th Century Italian	"Contrapasso en Due, Il Piantone, two dance games from La Caccia d'Amore will be taught. "
18-Aug	4:00 PM	Dance Tent	Henry of Maldon	Dance for Absolute Beginners	Never set foot on a dance floor before? Come learn the basics!
18-Aug	9:00 PM	Dance Tent	Lyev Davidovitch	Ballo in Onore della Duchessa	"Duchess Elena of Trimaris invites the noble lords and ladies of the Known World to a dance ball in the Italian style of Caroso and Negri. After the formal ball, space will be available for post-revel dancing from all countries and previous eras. The Maestro di Ballo is The Honorable Don Lyev Davidovich"
18-Aug	10:00 PM	Barn	TBD	Open Dancing	The Barn will be available for open dancing after courts are done.
19-Aug	10:00 AM	Dance Tent	Sion Andreas	If You've Learned One Dance You've Learned Them All	"Can Uncle Sion teach you 17--yes, I did say 17--dances in 2 hours?! He can if he cheats and they're really all the same dance!  Come and see how inventive people got and get with a simple pattern like 2 steps left/1 step right!"
19-Aug	12:00 PM	Dance Tent	Philip White	Reconstruction Practicum: 16th Century Italian (Caroso)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
19-Aug	1:00 PM	Dance Tent	Judith of Northumbria	Renaissance Folk Dance: Saltarello and Piva	"This class will cover the culture and practice of two of the most popular improvised dance forms of not only Italy, but of Spain and France. Part lecture, part practicum.  No choreographies to remember, just pure, simple fun. For absolute beginners and up."
19-Aug	2:00 PM	Dance Tent	Philip White	Reconstruction Practicum: 17th Century English Country Dance (Playford)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
19-Aug	3:00 PM	Dance Tent	Judith of Northumbria	Introduction to 15th Century Italian Dance	Come learn the basics of Italian 15th Century dances.
19-Aug	4:00 PM	Dance Tent	Philip White	Ball Prep class for Blue Feather Ball	Come learn the dances that will be done at the Blue Feather Ball.
19-Aug	8:00 PM	Dance Tent	Philip White	Blue Feather Ball & Fashion Cotillion	"THL Philip White invites all to the Blue Feather Ball. Dancing will take place from 8-10pm, to be followed by other activities including the annual fashion show."
19-Aug	10:00 PM	Barn	TBD	Open Dancing	The Barn will be available for open dancing after courts are done.
20-Aug	10:00 AM	Dance Tent	Katherine Mercer	Be a better dancer the period way!	"In this class well try some easy 15th century exercises to improve our skill as dancers.  Some knowledge of basic fifteenth century dance steps (singles, doubles, pive, and reprisa) assumed but all choreography will be taught."
20-Aug	11:00 AM	Dance Tent	Henry of Maldon	"Country Dances, Round for Eight"	"Something old, something new, something borrowed, but no blues (sorry). We'll be doing two Playford dances (If All the World Were Paper, and Newcastle), and one newly choreographed dance, to a new tune, called Love's Light Wings. For Intermediate dancers."
20-Aug	12:00 PM	Dance Tent	Gregory Blount	New 16th Century Dances	"Come learn some ""new"" 16th Century Italian dances... even though GeoffyMatt won't come to Pennsic again this year, his reconstructions will. For Intermediate dancers."
20-Aug	2:00 PM	Dance Tent	Judith of Northumbria	Renaissance Folk Dance: Chirintana	"This class will cover a widely (and enduringly) popular dance that seems itself to exhibit several of the elements of later longways English Country Dances, namely the high-energy hays in such dances as La Trenchmore. For absolute beginners and up."
20-Aug	3:00 PM	Dance Tent	Judith of Northumbria	Period Partner Swapping	"Swinging is Period! This class will survey a variety of dances that seem to promote socialization (or infidelity, depending on one’s point of view).  Dances to be covered: The 4th part of Caccia D’Amore, the Hay Bransle, the Slip (Il Piantone), Ballo del Fiore. For absolute beginners and up."
20-Aug	4:00 PM	Dance Tent	Lyev Davidovitch	Dancing for Absolute Beginners	"Curious about all the fun that people have at evening dance? This is your chance to find out! As a bonus, learn tips on asking someone to dance, and declining an invitation gracefully."
20-Aug	5:00 PM	Dance Tent	Domenico Barbiere Da Mantova	Dance Floor Disassembly	"Please help us put away our dance floor for next year! If you have a portable drill (preferably charged up in advance), please bring it. No skills necessary."
20-Aug	11:00 PM	Barn	TBD	Open Dancing	The Barn will be available for open dancing after courts are done.
21-Aug	9:00 PM	Barn	TBD	Open Dancing	The Barn will be available for open dancing for any hearty soles still remaining!
