Date,Time,Location,Class Name,Teacher,Fee,Limit,Length,Subject
8/11 (Th) ,12:00 PM,AS03 ,Evolution of Calligraphy ,Cadell Blaidd du ,0,0,1,Scribal Arts 
8/11 (Th) ,12:00 PM,AS07 ,Twist Pattern Tablet Weaving ,Alistrina de Mann ,7,4,2,Fiber Arts: Weaving 
8/11 (Th) ,12:00 PM,AS08 ,Women Pirates ,Suzanna Merrybegot ,0,0,1,History: Women 
8/11 (Th) ,12:00 PM,AS09 ,Basic Inkle Loom ,Avice of Greylyng ,0,0,2,Fiber Arts: Weaving 
8/11 (Th) ,12:00 PM,AS12 ,Tall Hats of the Elizabethan Period 1560-1600 ,Charmaine of Falkensee ,0,0,2,Clothing: Accessories 
8/11 (Th) ,12:00 PM,AS14 ,Herbal Beauty for the Lady ,Sara Gedding ,0,0,2,Health and Beauty 
8/11 (Th) ,12:00 PM,Barn ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,2,Music: Vocal 
8/11 (Th) ,12:00 PM,Dance ,"15th Century, North of Italy ",Mara Kolorova ,0,0,1,Dance: European 
8/11 (Th) ,1:00 PM,AS06 ,11th Century Shipwreck Artifacts from Serce Liman ,Michael de Safita ,0,0,1,Culture: Middle Eastern 
8/11 (Th) ,1:00 PM,AS08 ,The Foods of la Florida ,Dinah bint Isma'il ,0,0,1,Culinary Arts 
8/11 (Th) ,1:00 PM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/11 (Th) ,1:00 PM,Battlefield ,Closed Form Sword and Shield: a Voice from AS IV ,Cariadoc of the Bow ,0,0,1,Martial Arts 
8/11 (Th) ,1:00 PM,Dance ,Intermediate English Country Dances ,Henry of Maldon ,0,0,2,Dance: European 
8/11 (Th) ,1:00 PM,Private Camp ,Parchment Pipes: Making Late-Period Bookmarkers ,Rhiannon y Bwa ,3,12,1,Miscellaneous Sciences 
8/11 (Th) ,2:00 PM,AS09 ,Development of Ships in the SCA Period ,Elias Gedney ,0,0,2,Nautical 
8/11 (Th) ,2:00 PM,AS14 ,Painted Tapestries: Easier Than You Think ,Blitha of Wolfhou ,0,0,2,Painting 
8/11 (Th) ,2:00 PM,Middle Eastern ,Beginner Tribal Belly Dance ,Blue Lotus Tribe ,0,0,1,Dance: Middle Eastern 
8/11 (Th) ,3:00 PM,AS03 ,Basic Trompe l'Oeil Painting ,Tristan Alexander ,0,0,2,Scribal Arts 
8/11 (Th) ,3:00 PM,AS06 ,Spinning with a Turkish Drop Spindle ,Thorfinn Campbell ,0,20,2,Fiber Arts: Spinning 
8/11 (Th) ,3:00 PM,AS08 ,Tibetan Buddhism ,Mael ruain mac Eoain ,0,0,2,Culture: Asian 
8/11 (Th) ,3:00 PM,AS11 ,AHA First Aid ,Chirurgeonate Instructors ,20,12,4,Health and Safety 
8/11 (Th) ,3:00 PM,AS13 ,Beginning Wire Weaving ,Marsi of Hadley ,3,25,1,Jewelry 
8/11 (Th) ,3:00 PM,Dance ,Focused Beginner Class--16th Century Italian ,Adele Desfontaines ,0,0,1,Dance: European 
8/11 (Th) ,3:00 PM,Middle Eastern ,Dance of the Drum ,Emyrs ap Morgan ,0,0,1,Dance: Middle Eastern 
8/11 (Th) ,3:00 PM,Private Camp ,Pennsic Sanitation for the Compleat Idiot ,Jaji ,0,0,2,Camping 
8/11 (Th) ,3:00 PM,Private Camp ,Period Candlemaking ,Ruedy MacChristian ,10,5,4,Miscellaneous Sciences 
8/11 (Th) ,3:00 PM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/11 (Th) ,4:00 PM,AS04 ,How To Teach a Class at Pennsic ,Caiterina ingen Ruaidri ,0,0,1,SCA Life 
8/11 (Th) ,4:00 PM,Dance ,Dance for Absolute Beginners ,Lyev Davidovitch ,0,0,1,Dance: European 
8/11 (Th) ,8:30 PM,AS13 and 14 ,Bead Night ,Irene the Questing ,0, ,2,Miscellaneous Sciences 
8/11 (Th) ,9:00 PM,Dance ,Evening Dance ,Pennsic Dance Staff ,0,0,3,Dance: European 
8/12 (Fr) ,1:00 AM,AS04 ,Autocrat Handbook ,Diane the Scrivener ,0,0,1,SCA Life 
8/12 (Fr) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/12 (Fr) ,9:00 AM,AS05 ,Kumihimo ,Irene the Questing ,16,10,3,Fiber Arts: Braids and Cords 
8/12 (Fr) ,9:00 AM,AS07 ,"Rigid Heddle Weaving, Part 1 ",Seelie Brianna Sutherland ,0,0,4,Fiber Arts: Weaving 
8/12 (Fr) ,9:00 AM,AS14 ,Basic Coin Making ,Chandra Panthi ,5,10,3,Miscellaneous Sciences 
8/12 (Fr) ,9:30 AM,Barn ,Loud Wind Band ,Deonna von Aachen ,0,0,1.5,Music: Instrumental 
8/12 (Fr) ,10:00 AM,AS06 ,Quick and Easy Bliaut ,Thyri Erbewyf ,0,0,1,Clothing: European 
8/12 (Fr) ,10:00 AM,AS09 ,Viking Chain Knitting Research Discussion ,Apollonia Voss ,3,10,1,Fiber Arts: Knitting 
8/12 (Fr) ,10:00 AM,AS10 ,AHA Community CPR ,Chirurgeonate Instructors ,30,12,7,Health and Safety 
8/12 (Fr) ,10:00 AM,AS11 ,Red Cross First Aid ,Chirurgeonate Instructors ,20,12,4,Health and Safety 
8/12 (Fr) ,10:00 AM,Dance ,Cute Cascarde: Gentilezza d'Amore ,Adele Desfontaines ,0,0,1,Dance: European 
8/12 (Fr) ,10:00 AM,Private Camp ,Warp Weighted Loom 2 ,Thora Sharptooth ,0,0,2.5,Fiber Arts: Weaving 
8/12 (Fr) ,10:00 AM,Private Camp ,Lets Make a REALLY Spiffy Book 2 ,Alienora Russeal ,0,5,3,Miscellaneous Sciences 
8/12 (Fr) ,10:00 AM,Private Camp ,Whitework ,Katarina Helene von Schonborn ,10,10,2,Scribal Arts 
8/12 (Fr) ,10:00 AM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/12 (Fr) ,11:00 AM,AS05 ,A Fine Feast: Tablesetting in the Middle Ages ,Martelle von Charlottenburg ,0,0,1,Culinary Arts 
8/12 (Fr) ,11:00 AM,AS08 ,Three 16th Century Italian Sauces ,Aleksandr Ruslanovich Kievchanin ,0,0,1,Culinary Arts 
8/12 (Fr) ,11:00 AM,AS09 ,Garden Folklore 1 ,Cairistiona de Coveran ,0,0,1,Herbs and Gardens 
8/12 (Fr) ,11:00 AM,Dance ,Bouffons: a French 16th century Sword Dance ,Lyev Davidovitch ,0,0,1,Dance: European 
8/12 (Fr) ,11:00 AM,Middle Eastern ,Pilates for the Middle Eastern Dancer ,Samira Shuruk ,0,0,1,Dance: Middle Eastern 
8/12 (Fr) ,11:00 AM,Performing Arts ,Round and Round It Goes ,Catriona nicHugh Mclaey ,2,0,1,Music: Vocal 
8/12 (Fr) ,11:00 AM,Private Camp ,Bowl Turning Without a Rest 1: Wood Prep ,Dofinn-Hallr Morrisson ,0,0,4,Woodworking 
8/12 (Fr) ,12:00 PM,AS05 ,Fitting Neck and Shoulders ,Miriel Verdy ,0.5,0,2,Sewing 
8/12 (Fr) ,12:00 PM,AS08 ,Wool Combing ,Thorfinn Campbell ,0,20,2,Fiber Arts: Spinning 
8/12 (Fr) ,12:00 PM,AS09 ,Strange Stories of Women's Health ,Natalia Yashovna ,0,0,1,Health and Safety 
8/12 (Fr) ,12:00 PM,AS13 ,Making a Period-Appearing Handcart ,Charles of Westermark ,0,0,1,Woodworking 
8/12 (Fr) ,12:00 PM,AS14 ,Medieval and Renaissance Hygiene ,Jadwiga Zajaczkowa ,0,0,1,Health and Safety 
8/12 (Fr) ,12:00 PM,Barn ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,2,Music: Vocal 
8/12 (Fr) ,12:00 PM,Dance ,Early Progressive Country Dances ,Henry of Maldon ,0,0,2,Dance: European 
8/12 (Fr) ,12:00 PM,Middle Eastern ,Advanced Pilates for the Middle Eastern Dance ,Samira Shuruk ,0,0,1,Dance: Middle Eastern 
8/12 (Fr) ,12:00 PM,Performing Arts ,Bodhran 101 ,Philip the Pilgrim ,0,0,1,Music: Instrumental 
8/12 (Fr) ,1:00 PM,AS06 ,"Sex, Marriage and Family in Medieval Japan ",Solveig Throndardottir ,0,0,1,Culture: Asian 
8/12 (Fr) ,1:00 PM,AS07 ,Spinning Flax with Spindle and Distaff ,AnneLiese Wolkenhaar ,2.5,10,2,Fiber Arts: Spinning 
8/12 (Fr) ,1:00 PM,AS09 ,"Evolution of the Italian Camicia, 1450-1560 ",Rainillt Leia de Bello Marisco ,0,0,1,Clothing: European 
8/12 (Fr) ,1:00 PM,AS13 ,Medieval Oil Lamps ,Bedwyr Danwyn ,1,0,1,Miscellaneous Sciences 
8/12 (Fr) ,1:00 PM,Private Camp ,Parchment Pipes: Making Late-Period Bookmarkers ,Rhiannon y Bwa ,3,12,1,Miscellaneous Sciences 
8/12 (Fr) ,1:00 PM,Thrown Weapons ,Advanced Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/12 (Fr) ,2:00 PM,AS04 ,Common Foods for Common Folk ,Olwen Bucklond ,0,0,2,Culinary Arts 
8/12 (Fr) ,2:00 PM,AS08 ,Introduction to Alchemy ,Mael ruain mac Eoain ,0,0,2,Miscellaneous Sciences 
8/12 (Fr) ,2:00 PM,AS09 ,Period or Non-Period Pirates? ,Elias Gedney ,0,0,1,Nautical 
8/12 (Fr) ,2:00 PM,AS11 ,Armor Extrication ,Chirurgeonate Instructors ,0,0,1,Health and Safety 
8/12 (Fr) ,2:00 PM,AS14 ,14th Century Turnshoe Construction 1 ,Brice le Corbet ,40,10,2,Leatherwork 
8/12 (Fr) ,2:00 PM,Dance ,ECD's With No Patterns ,Gwommy Anpurpaidh ,0,0,1,Dance: European 
8/12 (Fr) ,2:00 PM,Middle Eastern ,Beginner Tribal Belly Dance ,Blue Lotus Tribe ,0,0,1,Dance: Middle Eastern 
8/12 (Fr) ,3:00 PM,AS05 ,"Ghosts of the Samurai: Myth, Religion and the Supernatural ",Solveig Throndardottir ,0,0,1,Culture: Asian 
8/12 (Fr) ,3:00 PM,AS06 ,Anglo-Saxon Food Preparation and Preservation ,Rowena Lindsey ,0,0,1,Culinary Arts 
8/12 (Fr) ,3:00 PM,AS09 ,Basic Bead Embroidery and Embellishment ,Giovanna Giovanelli ,5,0,2,Fiber Arts: Embroidery 
8/12 (Fr) ,3:00 PM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/12 (Fr) ,3:00 PM,AS13 ,Making a Leather Bottle 2 ,Michael of Devonshire ,15,30,3,Woodworking 
8/12 (Fr) ,3:00 PM,Dance ,"Sweet, Suite Bransles ",Henry of Maldon ,0,0,1,Dance: European 
8/12 (Fr) ,3:00 PM,Middle Eastern ,Communication between Dancers and Drummers ,Emyrs ap Morgan ,0,0,1,Dance: Middle Eastern 
8/12 (Fr) ,3:00 PM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/12 (Fr) ,4:00 PM,Dance ,Dance for Absolute Beginners ,Lyev Davidovitch ,0,0,1,Dance: European 
8/12 (Fr) ,7:00 PM,AS12 ,Uncommon Women's Clothes ,Leah Janette ,0,0,2,Clothing: European 
8/12 (Fr) ,9:00 PM,Dance ,Evening Dance ,Pennsic Dance Staff ,0,0,3,Dance: European 
8/13(Sa) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/13(Sa) ,9:00 AM,AS05 ,Fitting a Cotehardie ,Alison Wodehalle ,0,0,1,Clothing: European 
8/13(Sa) ,9:00 AM,AS06 ,Anglo-Saxon England ,Arastorm ,0,0,2,Culture: Anglo-Saxon 
8/13(Sa) ,9:00 AM,AS07 ,"Rigid Heddle Weaving, Part 2 ",Seelie Brianna Sutherland ,0,0,6,Fiber Arts: Weaving 
8/13(Sa) ,9:00 AM,AS14 ,Norse/Viking Bead Furnace and Beadmaking ,Cynthia de Wickeresham ,0,0,3,Miscellaneous Sciences 
8/13(Sa) ,9:00 AM,Orluk Oasis ,Beginner Middle Easter Dance 1: Basic Hips ,Rosamund ,0,0,1,Dance: Middle Eastern 
8/13(Sa) ,9:30 AM,Barn ,Loud wind band ,Deonna von Aachen ,0,0,1.5,Music: Instrumental 
8/13(Sa) ,10:00 AM,AS05 ,A Survey of Hoods ,Bridgette Kelly MacLean ,0,0,1,Clothing: Accessories 
8/13(Sa) ,10:00 AM,AS08 ,Onmyodo: Calendars and Magic in Japan ,Ii Saburou Katsumori ,0,0,2,Culture: Asian 
8/13(Sa) ,10:00 AM,AS09 ,Catherine of Aragon and Anne Boleyn: The Battle Royal ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/13(Sa) ,10:00 AM,AS11 ,Red Cross Adult CPR with AED ,Chirurgeonate Instructors ,20,12,5,Health and Safety 
8/13(Sa) ,10:00 AM,AS13 ,Commercial Pattern Fitting ,Elisee du Lyonnais ,0,0,1,Sewing 
8/13(Sa) ,10:00 AM,Dance ,Dancing for Non-Dancers ,Liam O'Cormick ,0,0,1,Dance: European 
8/13(Sa) ,10:00 AM,Gaming ,Tafl Games: Fitchneal and Tablut ,Michel Wolffauer ,0,0,1,Gaming 
8/13(Sa) ,10:00 AM,Middle Eastern ,Stage Presence ,Umm Zubaida bint Wissam al-Ahlam ,0,0,1,Dance: Middle Eastern 
8/13(Sa) ,10:00 AM,Private Camp ,Pennsic Sanitation for the Compleat Idiot ,Jaji ,0,0,2,Camping 
8/13(Sa) ,10:00 AM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/13(Sa) ,11:00 AM,AS04 ,"Copyright for Chroniclers, Seneschals, Writers, and Artists ",Nicolaa de Bracton ,0,0,1,SCA Life 
8/13(Sa) ,11:00 AM,AS05 ,Blackwork Embroidery for Children ,Martelle von Charlottenburg ,0,0,1,Children and Youth 
8/13(Sa) ,11:00 AM,AS06 ,Make an Easy Padded Gambeson ,Randall Vihar-Farkas ,0,0,1,Arms and Armor 
8/13(Sa) ,11:00 AM,AS13 ,Flowered Sugars ,Ardenia A Ruadh ,0,0,1,Culinary Arts 
8/13(Sa) ,11:00 AM,Dance ,Footloose and Fance Free ,Henry of Maldon ,0,0,1,Dance: European 
8/13(Sa) ,11:00 AM,Middle Eastern ,Belly Dance/Flamenco Fusion ,Kari Merlina ,0,0,2,Dance: Middle Eastern 
8/13(Sa) ,12:00 PM,AS03 ,Medieval Pigments and Modern Alternatives ,Karana Yabokchi ,0,0,1,Painting 
8/13(Sa) ,12:00 PM,AS09 ,A Skep in the Garden ,Angus Kerr ,0,0,1,Herbs and Gardens 
8/13(Sa) ,12:00 PM,Dance ,Lombardy Longways: Colonesse ,Judith of Northumbria ,0,0,1,Dance: European 
8/13(Sa) ,1:00 PM,AS03 ,Accessorize Your Documents with Tags and Seals ,Emmelyne de Marksbury ,0.5,10,1,Scribal Arts 
8/13(Sa) ,1:00 PM,AS04 ,Ways to Make Cloaks ,Tempus Peregrinator ,0,0,1,Clothing 
8/13(Sa) ,1:00 PM,AS05 ,The Black Plague ,Suzanna Merrybegot ,0,0,1,Health and Safety 
8/13(Sa) ,1:00 PM,AS06 ,Chadou Nyuumon: The Way of Tea ,Solveig Throndardottir ,0,0,1,Culture: Asian 
8/13(Sa) ,1:00 PM,AS08 ,Period Canines ,Pavla de la Satu Mare ,0,0,1,Birds and Beasts 
8/13(Sa) ,1:00 PM,AS10 ,Red Cross CPR for the Professional Rescuer (CPRO) Part 1 ,Chirurgeonate Instructors ,40,8,5,Health and Safety 
8/13(Sa) ,1:00 PM,AS13 ,Making of Bottles and Jacks ,Michael of Devonshire ,0,0,1,Leatherwork 
8/13(Sa) ,1:00 PM,Dance ,Lombardy Longways: Pizochara ,Judith of Northumbria ,0,0,1,Dance: European 
8/13(Sa) ,1:00 PM,Gaming ,Pits and Stones ,Istvan Nyiregyhazi ,0,0,1,Gaming 
8/13(Sa) ,1:00 PM,Middle Eastern ,Middle Eastern Drumming - Beginner ,Vashti Amhose ,0,0,1,Music: Instrumental 
8/13(Sa) ,1:00 PM,Private Camp ,Parchment Pipes: Making Late-Period Bookmarkers ,Rhiannon y Bwa ,3,12,1,Miscellaneous Sciences 
8/13(Sa) ,2:00 PM,AS03 ,Irish Uncial Script ,Aidan ni Leir ,0,0,1,Scribal Arts 
8/13(Sa) ,2:00 PM,AS04 ,Creating and Keeping a Household ,Ogami Akira ,0,0,1,SCA Life 
8/13(Sa) ,2:00 PM,AS05 ,A 'Humourous' Look at Plants ,Thyri Erbewyf ,0,0,2,Herbs and Gardens 
8/13(Sa) ,2:00 PM,AS06 ,"Pudels, the Perfect Period Pooch ",Bridgette Kelly MacLean ,0,0,1,Birds and Beasts 
8/13(Sa) ,2:00 PM,AS08 ,Alchemy Practicum ,Mael ruain mac Eoain ,0,0,2,Miscellaneous Sciences 
8/13(Sa) ,2:00 PM,AS09 ,"The Hulc, The Ship that Time Forgot ",Elias Gedney ,0,0,1,Nautical 
8/13(Sa) ,2:00 PM,AS13 ,Herbal Sallets and Green Pottages ,Jadwiga Zajaczkowa ,0,0,1,Culinary Arts 
8/13(Sa) ,2:00 PM,Dance ,One Minute of Madness: Parsons Farewell ,Henry of Maldon ,0,0,1,Dance: European 
8/13(Sa) ,2:00 PM,Middle Eastern ,How to Write and Tell a Great Story ,Chengir Abu ben Said ,0,0,1,Bardic Arts 
8/13(Sa) ,2:00 PM,Performing Arts ,Instrumental Improvisation ,John Elys ,0,0,1,Music: Instrumental 
8/13(Sa) ,3:00 PM,AS06 ,Samurai Poet: Poetry of Court and Field ,Solveig Throndardottir ,0,0,1,Culture: Asian 
8/13(Sa) ,3:00 PM,AS09 ,Viking Chain Knitting Research Discussion ,Apollonia Voss ,3,10,1,Fiber Arts: Knitting 
8/13(Sa) ,3:00 PM,AS13 ,Beginning Wire Weaving ,Marsi of Hadley ,3,25,1,Jewelry 
8/13(Sa) ,3:00 PM,Dance ,Focused Beginner Class--English Revels ,Henry of Maldon ,0,0,1,Dance: European 
8/13(Sa) ,3:00 PM,Gaming ,Introduction to the Game of Tarot ,Marietta da Firenze , ,0,1,Gaming 
8/13(Sa) ,3:00 PM,Middle Eastern ,Middle Eastern Dancers Roundtable ,Sahar bint Durr ,0,0,2,Dance: Middle Eastern 
8/13(Sa) ,3:00 PM,Thrown Weapons ,Advanced Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/13(Sa) ,4:00 PM,AS08 ,The Protestant Reformation ,Lionheart of Beaver Ridge ,0,0,1,History: Religion 
8/13(Sa) ,4:00 PM,AS11 ,Blood Born Pathogens ,Chirurgeonate Instructors ,0,0,1,Health and Safety 
8/13(Sa) ,4:00 PM,AS13 ,Learning the Lay of the Leather ,Brice le Corbet ,0,0,1,Leatherwork 
8/13(Sa) ,4:00 PM,Dance ,Pennsic Ball Prep ,Judith of Northumbria ,0,0,2,Dance: European 
8/13(Sa) ,5:00 PM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/13(Sa) ,5:00 PM,Middle Eastern ,Period Male Middle Eastern Dance ,Asim al-Talib ,0,0,1,Dance: Middle Eastern 
8/13(Sa) ,5:00 PM,Thrown Weapons ,Known World Thrown Weapons Marshalls Meeting: Opening ,Thrown Weapons Instructors ,0,0,1.5,Meetings 
8/13(Sa) ,6:00 PM,AS01,Bardic Master Class Series: Storytelling ,Garraed Galbraith , ,0,3,Bardic Arts 
8/13(Sa) ,6:00 PM,Private Camp ,The Human Figure in Award Scrolls ,Date Saburou Yukiie ,0,0,1,Scribal Arts 
8/13(Sa) ,9:00 PM,Dance ,Evening Dance ,Pennsic Dance Staff ,0,0,3,Dance: European 
8/14(Su) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/14(Su) ,9:00 AM,AS05 ,Anglo-Saxon Children ,Arastorm ,0,0,1,Culture: Anglo-Saxon 
8/14(Su) ,9:00 AM,AS06 ,Fitting a Sleeve for Your Cotehardie ,Alison Wodehalle ,0,0,1,Clothing: European 
8/14(Su) ,9:00 AM,AS07 ,"Rigid Heddle Weaving, Part 3 ",Seelie Brianna Sutherland ,0,0,6,Fiber Arts: Weaving 
8/14(Su) ,9:00 AM,AS08 ,The Pleated Embroidered Shirt ,Rainillt Leia de Bello Marisco ,0,0,1,Clothing: European 
8/14(Su) ,9:00 AM,AS10 ,Red Cross Baby Sitting Training Part 1 ,Chirurgeonate Instructors ,30,8,4,Health and Safety 
8/14(Su) ,9:00 AM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/14(Su) ,9:00 AM,AS12 ,Sewing Machine TLC ,Elisee du Lyonnais ,0,0,1,Sewing 
8/14(Su) ,9:00 AM,AS14 ,Scented Oils and Waters ,Jadwiga Zajaczkowa ,3,45,2,Miscellaneous Sciences 
8/14(Su) ,9:00 AM,Orluk Oasis ,Beginner Middle Eastern Dance 2: Slow Moves ,Rosamund ,0,0,1,Dance: Middle Eastern 
8/14(Su) ,9:00 AM,Pavillion ,Children's Theater ,Sofia Tyzes ,0,0,1,Children and Youth 
